Panel Number,Current,Voltage,Power,Shaded
1,10.0,32.1,322.0,False
2,10.0,32.1,322.0,False
3,10.0,32.1,322.0,False
4,10.0,32.1,322.0,False
5,10.0,32.1,322.0,False
6,10.0,32.1,322.0,False
7,10.0,32.1,322.0,False
8,10.0,32.1,322.0,False
9,10.0,32.1,322.0,False
10,10.0,32.1,322.0,False
11,10.0,32.1,322.0,False
12,10.0,32.1,322.0,False
13,10.0,32.1,322.0,False
14,10.0,32.1,322.0,False
15,10.0,32.1,322.0,False
16,10.0,32.1,322.0,False
17,10.0,32.1,322.0,False
18,10.0,32.1,322.0,False
19,10.0,32.1,322.0,False
20,10.0,32.1,322.0,False
21,10.0,32.1,322.0,False
22,10.0,32.1,322.0,False
23,10.0,32.1,322.0,False
24,10.0,32.1,322.0,False
25,10.0,32.1,322.0,False
26,10.0,32.1,322.0,False
27,10.0,32.1,322.0,False
28,10.0,32.1,322.0,False
29,10.0,32.1,322.0,False
30,10.0,32.1,322.0,False
31,10.0,32.1,322.0,False
32,10.0,32.1,322.0,False
33,10.0,32.1,322.0,False
34,10.0,32.1,322.0,False
35,10.0,32.1,322.0,False
36,10.0,32.1,322.0,False
37,10.0,32.1,322.0,False
38,10.0,32.1,322.0,False
39,10.0,32.1,322.0,False
40,10.0,32.1,322.0,False
41,10.0,32.1,322.0,False
42,10.0,32.1,322.0,False
43,10.0,32.1,322.0,False
44,10.0,32.1,322.0,False
45,10.0,32.1,322.0,False
46,10.0,32.1,322.0,False
47,10.0,32.1,322.0,False
48,10.0,32.1,322.0,False
49,10.0,32.1,322.0,False
50,10.0,32.1,322.0,False
51,10.0,32.1,322.0,False
52,10.0,32.1,322.0,False
53,10.0,32.1,322.0,False
54,10.0,32.1,322.0,False
55,10.0,32.1,322.0,False
56,10.0,32.1,322.0,False
