Panel Number,Current,Voltage,Power,Shaded
1,4.19,38.6,162.0,False
2,4.19,38.6,162.0,False
3,4.19,38.6,162.0,False
4,4.19,38.6,162.0,False
5,4.19,38.6,162.0,False
6,4.19,38.6,162.0,False
7,4.19,38.6,162.0,False
8,4.19,38.6,162.0,False
9,4.19,38.6,162.0,False
10,4.19,38.6,162.0,False
11,4.19,38.6,162.0,False
12,4.19,38.6,162.0,False
13,4.19,38.6,162.0,False
14,4.19,38.6,162.0,False
15,4.19,38.6,162.0,False
16,4.19,38.6,162.0,False
17,4.19,38.6,162.0,False
18,4.19,38.6,162.0,False
19,4.19,38.6,162.0,False
20,4.19,38.6,162.0,False
21,4.19,38.6,162.0,False
22,4.19,38.6,162.0,False
23,4.19,38.6,162.0,False
24,4.19,38.6,162.0,False
25,4.19,38.6,162.0,False
26,4.19,38.6,162.0,False
27,4.19,38.6,162.0,False
28,4.19,38.6,162.0,False
29,4.19,38.6,162.0,False
30,4.19,38.6,162.0,False
31,4.19,38.6,162.0,False
32,4.19,38.6,162.0,False
33,4.19,38.6,162.0,False
34,4.19,38.6,162.0,False
35,4.19,38.6,162.0,False
36,4.19,38.6,162.0,False
37,4.19,38.6,162.0,False
38,4.19,38.6,162.0,False
39,4.19,38.6,162.0,False
40,4.19,38.6,162.0,False
41,4.19,38.6,162.0,False
42,4.19,38.6,162.0,False
43,4.19,38.6,162.0,False
44,4.19,38.6,162.0,False
45,4.19,38.6,162.0,False
46,4.19,38.6,162.0,False
47,4.19,38.6,162.0,False
48,4.19,38.6,162.0,False
49,4.19,38.6,162.0,False
50,4.19,38.6,162.0,False
51,4.19,38.6,162.0,False
52,4.19,38.6,162.0,False
53,4.19,38.6,162.0,False
54,4.19,38.6,162.0,False
55,4.19,38.6,162.0,False
56,4.19,38.6,162.0,False
