Panel Number,Current,Voltage,Power,Shaded
1,8.96,32.5,292.0,False
2,8.96,32.5,292.0,False
3,8.96,32.5,292.0,False
4,8.96,32.5,292.0,False
5,8.96,32.5,292.0,False
6,8.96,32.5,292.0,False
7,8.96,32.5,292.0,False
8,8.96,32.5,292.0,False
9,8.96,32.5,292.0,False
10,8.96,32.5,292.0,False
11,8.96,32.5,292.0,False
12,8.96,32.5,292.0,False
13,8.96,32.5,292.0,False
14,8.96,32.5,292.0,False
15,8.96,32.5,292.0,False
16,8.96,32.5,292.0,False
17,8.96,32.5,292.0,False
18,8.96,32.5,292.0,False
19,8.96,32.5,292.0,False
20,8.96,32.5,292.0,False
21,8.96,32.5,292.0,False
22,8.96,32.5,292.0,False
23,8.96,32.5,292.0,False
24,8.96,32.5,292.0,False
25,8.96,32.5,292.0,False
26,8.96,32.5,292.0,False
27,8.96,32.5,292.0,False
28,8.96,32.5,292.0,False
29,8.96,32.5,292.0,False
30,8.96,32.5,292.0,False
31,8.96,32.5,292.0,False
32,8.96,32.5,292.0,False
33,8.96,32.5,292.0,False
34,8.96,32.5,292.0,False
35,8.96,32.5,292.0,False
36,8.96,32.5,292.0,False
37,8.96,32.5,292.0,False
38,8.96,32.5,292.0,False
39,8.96,32.5,292.0,False
40,8.96,32.5,292.0,False
41,8.96,32.5,292.0,False
42,8.96,32.5,292.0,False
43,8.96,32.5,292.0,False
44,8.96,32.5,292.0,False
45,8.96,32.5,292.0,False
46,8.96,32.5,292.0,False
47,8.96,32.5,292.0,False
48,8.96,32.5,292.0,False
49,8.96,32.5,292.0,False
50,8.96,32.5,292.0,False
51,8.96,32.5,292.0,False
52,8.96,32.5,292.0,False
53,8.96,32.5,292.0,False
54,8.96,32.5,292.0,False
55,8.96,32.5,292.0,False
56,8.96,32.5,292.0,False
