Panel Number,Current,Voltage,Power,Shaded
1,0.613,39.0,23.9,False
2,0.613,39.0,23.9,False
3,0.613,39.0,23.9,False
4,0.613,39.0,23.9,False
5,0.613,39.0,23.9,False
6,0.613,39.0,23.9,False
7,0.613,39.0,23.9,False
8,0.613,39.0,23.9,False
9,0.613,39.0,23.9,False
10,0.613,39.0,23.9,False
11,0.613,39.0,23.9,False
12,0.613,39.0,23.9,False
13,0.613,39.0,23.9,False
14,0.613,39.0,23.9,False
15,0.613,39.0,23.9,False
16,0.613,39.0,23.9,False
17,0.613,39.0,23.9,False
18,0.613,39.0,23.9,False
19,0.613,39.0,23.9,False
20,0.613,39.0,23.9,False
21,0.613,39.0,23.9,False
22,0.613,39.0,23.9,False
23,0.613,39.0,23.9,False
24,0.613,39.0,23.9,False
25,0.613,39.0,23.9,False
26,0.613,39.0,23.9,False
27,0.613,39.0,23.9,False
28,0.613,39.0,23.9,False
29,0.613,39.0,23.9,False
30,0.613,39.0,23.9,False
31,0.613,39.0,23.9,False
32,0.613,39.0,23.9,False
33,0.613,39.0,23.9,False
34,0.613,39.0,23.9,False
35,0.613,39.0,23.9,False
36,0.613,39.0,23.9,False
37,0.613,39.0,23.9,False
38,0.613,39.0,23.9,False
39,0.613,39.0,23.9,False
40,0.613,39.0,23.9,False
41,0.613,39.0,23.9,False
42,0.613,39.0,23.9,False
43,0.613,39.0,23.9,False
44,0.613,39.0,23.9,False
45,0.613,39.0,23.9,False
46,0.613,39.0,23.9,False
47,0.613,39.0,23.9,False
48,0.613,39.0,23.9,False
49,0.613,39.0,23.9,False
50,0.613,39.0,23.9,False
51,0.613,39.0,23.9,False
52,0.613,39.0,23.9,False
53,0.613,39.0,23.9,False
54,0.613,39.0,23.9,False
55,0.613,39.0,23.9,False
56,0.613,39.0,23.9,False
57,0.613,39.0,23.9,False
