Panel Number,Current,Voltage,Power,Shaded
1,7.3,43.2,315.0,False
2,7.3,43.2,315.0,False
3,7.3,43.2,315.0,False
4,7.3,43.2,315.0,False
5,7.3,43.2,315.0,False
6,7.3,43.2,315.0,False
7,7.3,43.2,315.0,False
8,7.3,43.2,315.0,False
9,7.3,43.2,315.0,False
10,7.3,43.2,315.0,False
11,7.3,43.2,315.0,False
12,7.3,43.2,315.0,False
13,7.3,43.2,315.0,False
14,7.3,43.2,315.0,False
15,7.3,43.2,315.0,False
16,7.3,43.2,315.0,False
17,7.3,43.2,315.0,False
18,7.3,43.2,315.0,False
19,7.3,43.2,315.0,False
20,7.3,43.2,315.0,False
21,7.3,43.2,315.0,False
22,7.3,43.2,315.0,False
23,7.3,43.2,315.0,False
24,7.3,43.2,315.0,False
25,7.3,43.2,315.0,False
26,7.3,43.2,315.0,False
27,7.3,43.2,315.0,False
28,7.3,43.2,315.0,False
29,7.3,43.2,315.0,False
30,7.3,43.2,315.0,False
31,7.3,43.2,315.0,False
32,7.3,43.2,315.0,False
33,7.3,43.2,315.0,False
34,7.3,43.2,315.0,False
35,7.3,43.2,315.0,False
36,7.3,43.2,315.0,False
37,7.3,43.2,315.0,False
38,7.3,43.2,315.0,False
39,7.3,43.2,315.0,False
40,7.3,27.4,200.0,True
41,7.3,16.8,123.0,True
42,7.3,16.8,123.0,True
43,7.3,43.2,315.0,False
44,7.3,43.2,315.0,False
45,7.3,43.2,315.0,False
46,7.3,43.2,315.0,False
47,7.3,43.2,315.0,False
48,7.3,43.2,315.0,False
49,7.3,43.2,315.0,False
50,7.3,43.2,315.0,False
51,7.3,43.2,315.0,False
52,7.3,43.2,315.0,False
53,7.3,43.2,315.0,False
54,7.3,43.2,315.0,False
55,7.3,43.2,315.0,False
56,7.3,43.2,315.0,False
