Panel Number,Current,Voltage,Power,Shaded
1,2.86,51.0,146.0,False
2,2.86,51.0,146.0,False
3,2.86,51.0,146.0,False
4,2.86,51.0,146.0,False
5,2.86,51.0,146.0,False
6,2.86,51.0,146.0,False
7,2.86,51.0,146.0,False
8,2.86,51.0,146.0,False
9,2.86,51.0,146.0,False
10,2.86,51.0,146.0,False
11,2.86,51.0,146.0,False
12,2.86,51.0,146.0,False
13,2.86,51.0,146.0,False
14,2.86,51.0,146.0,False
15,2.86,51.0,146.0,False
16,2.86,51.0,146.0,False
17,2.86,51.0,146.0,False
18,2.86,51.0,146.0,False
19,2.86,51.0,146.0,False
20,2.86,51.0,146.0,False
21,2.86,51.0,146.0,False
22,2.86,51.0,146.0,False
23,2.86,51.0,146.0,False
24,2.86,51.0,146.0,False
25,2.86,51.0,146.0,False
26,2.86,51.0,146.0,False
27,2.86,51.0,146.0,False
28,2.86,51.0,146.0,False
29,2.86,51.0,146.0,False
30,2.86,51.0,146.0,False
31,2.86,51.0,146.0,False
32,2.86,51.0,146.0,False
33,2.86,51.0,146.0,False
34,2.86,51.0,146.0,False
35,2.86,51.0,146.0,False
36,2.86,51.0,146.0,False
37,2.86,51.0,146.0,False
38,2.86,51.0,146.0,False
39,2.86,51.0,146.0,False
40,2.86,51.0,146.0,False
41,2.86,51.0,146.0,False
42,2.86,51.0,146.0,False
43,2.86,51.0,146.0,False
44,2.86,51.0,146.0,False
45,2.86,51.0,146.0,False
46,2.86,51.0,146.0,False
47,2.86,51.0,146.0,False
48,2.86,51.0,146.0,False
49,2.86,51.0,146.0,False
50,2.86,51.0,146.0,False
51,2.86,51.0,146.0,False
52,2.86,51.0,146.0,False
53,2.86,51.0,146.0,False
54,2.86,51.0,146.0,False
55,2.86,51.0,146.0,False
56,2.86,51.0,146.0,False
