Panel Number,Current,Voltage,Power,Shaded
1,9.24,44.3,409.0,False
2,9.24,44.3,409.0,False
3,9.24,44.3,409.0,False
4,9.24,44.3,409.0,False
5,9.24,44.3,409.0,False
6,9.24,44.3,409.0,False
7,9.24,44.3,409.0,False
8,9.24,44.3,409.0,False
9,9.24,44.3,409.0,False
10,9.24,44.3,409.0,False
11,9.24,44.3,409.0,False
12,9.24,44.3,409.0,False
13,9.24,44.3,409.0,False
14,9.24,44.3,409.0,False
15,9.24,44.3,409.0,False
16,9.24,44.3,409.0,False
17,9.24,44.3,409.0,False
18,9.24,44.3,409.0,False
19,9.24,44.3,409.0,False
20,9.24,44.3,409.0,False
21,9.24,44.3,409.0,False
22,9.24,44.3,409.0,False
23,9.24,44.3,409.0,False
24,9.24,44.3,409.0,False
25,9.24,44.3,409.0,False
26,9.24,44.3,409.0,False
27,9.24,44.3,409.0,False
28,9.24,44.3,409.0,False
29,9.24,44.3,409.0,False
30,9.24,44.3,409.0,False
31,9.24,44.3,409.0,False
32,9.24,44.3,409.0,False
33,9.24,44.3,409.0,False
34,9.24,44.3,409.0,False
35,9.24,44.3,409.0,False
36,9.24,44.3,409.0,False
37,9.24,44.3,409.0,False
38,9.24,44.3,409.0,False
39,9.24,44.3,409.0,False
40,9.24,44.3,409.0,False
41,9.24,44.3,409.0,False
42,9.24,44.3,409.0,False
43,9.24,44.3,409.0,False
44,9.24,44.3,409.0,False
45,9.24,44.3,409.0,False
46,9.24,44.3,409.0,False
47,9.24,44.3,409.0,False
48,9.24,44.3,409.0,False
49,9.24,44.3,409.0,False
50,9.24,44.3,409.0,False
51,9.24,44.3,409.0,False
52,9.24,44.3,409.0,False
53,9.24,44.3,409.0,False
54,9.24,44.3,409.0,False
55,9.24,44.3,409.0,False
56,9.24,44.3,409.0,False
